lex	word	POS	time	gender	case	number	verbal	adj_form	comp	person	aspect	voice	animacy	transitivity	имя	отч	фам	вводн	гео	сокр	обсц	разг	редк	устар
крик	крики	S		муж	вин	мн							неод											
француз	французов	S		муж	вин	мн							од											
в	в	PR																						
лощина	лощине	S		жен	пр	ед							неод											
он	он	SPRO		муж	им	ед				3-л														
увидать	увидал	V	прош	муж		ед	изъяв				сов			пе										
перед	перед	PR																						
себя	собой	SPRO			твор																			
вроде	вроде	PR																						
река	реки	S		жен	вин	мн							неод											
но	но	CONJ																						
когда	когда	CONJ																						
он	он	SPRO		муж	им	ед				3-л														
доезжать	доехал	V	прош	муж		ед	изъяв				сов			нп										
до	до	PR																						
она	нее	SPRO		жен	вин	ед				3-л														
он	он	SPRO		муж	им	ед				3-л														
узнавать	узнал	V	прош	муж		ед	изъяв				сов			пе										
проездить	проезженную	V	прош	жен	вин	ед	прич	полн			сов	страд												
дорога	дорогу	S		жен	вин	ед							неод											
выезжать	выехав	V	прош				деепр				сов			нп										
на	на	PR																						
дорога	дорогу	S		жен	вин	ед							неод											
он	он	SPRO		муж	им	ед				3-л														
придерживать	придержал	V	прош	муж		ед	изъяв				сов			пе										
лошадь	лошадь	S		жен	вин	ед							од											
в	в	PR																						
нерешительность	нерешительности	S		жен	пр	ед							неод											
ехать	ехать	V					инф				несов			нп										
по	по	PR																						
она	ней	SPRO		жен	пр	ед				3-л														
или	или	CONJ																						
пересекать	пересечь	V					инф				сов													
она	ее	SPRO		жен	вин	ед				3-л														
и	и	CONJ																						
ехать	ехать	V					инф				несов			нп										
по	по	PR																						
черный	черному	A		муж	дат	ед		полн																
поле	полю	S		сред	дат	ед							неод											
в	в	PR																						
гора	гору	S		жен	вин	ед							неод											
ехать	ехать	V					инф				несов			нп										
по	по	PR																						
светлеть	светлевшей	V	прош	жен	пр	ед	прич	полн			несов	действ		нп										
в	в	PR																						
туман	тумане	S		муж	пр	ед							неод											
дорога	дороге	S		жен	пр	ед							неод											
быть	было	V	прош	сред		ед	изъяв				несов			нп										
безопасно	безопаснее	ADV							срав															
потому	потому	ADVPRO																						
что	что	CONJ																						
скоро	скорее	ADV							срав															
можно	можно	ADV																						
быть	было	V	прош	сред		ед	изъяв				несов			нп										
рассматривать	рассмотреть	V					инф				сов			пе										
человек	людей	S		муж	вин	мн							од											
пойти	пошел	V	прош	муж		ед	изъяв				сов			нп										
за	за	PR																						
я	мной	SPRO			твор	ед				1-л														
проговаривать	проговорил	V	прош	муж		ед	изъяв				сов			пе										
он	он	SPRO		муж	им	ед				3-л														
пересекать	пересек	V	прош	муж		ед	изъяв				сов													
дорога	дорогу	S		жен	вин	ед							неод											
и	и	CONJ																						
становиться	стал	V	прош	муж		ед	изъяв				сов			нп										
подниматься	подниматься	V					инф				несов			нп										
галоп	галопом	S		муж	твор	ед							неод											
на	на	PR																						
гора	гору	S		жен	вин	ед							неод											
к	к	PR																						
тот	тому	APRO		муж	дат	ед																		
место	месту	S		сред	дат	ед							неод											
где	где	ADVPRO																						
с	с	PR																						
вечер	вечера	S		муж	вин	мн							неод											
стоять	стояли	V	прош			мн	изъяв				несов			нп										
французский	французские	A			вин	мн		полн					неод											
пикет	пикеты	S		муж	вин	мн							неод											
ваш	ваше	APRO		сред	вин	ед																		
благородие	благородие	S		сред	вин	ед							неод											
вот	вот	PART																						
он	он	SPRO		муж	им	ед				3-л														
проговаривать	проговорил	V	прош	муж		ед	изъяв				сов			пе										
сзади	сзади	ADV																						
один	один	APRO		муж	вин	ед							неод											
из	из	PR																						
гусар	гусар	S		муж	вин	мн							од											
и	и	CONJ																						
не	не	PART																						
успевать	успел	V	прош	муж		ед	изъяв				сов			нп										
еще	еще	ADV																						
ростов	ростов	S		муж	вин	ед							неод						гео					
разглядеть	разглядеть	V					инф				сов			пе										
вдруг	вдруг	ADV																						
зачернеться	зачерневшееся	V	прош	сред	вин	ед	прич	полн			сов	действ		нп										
в	в	PR																						
туман	тумане	S		муж	пр	ед							неод											
как	как	CONJ																						
блеснуть	блеснул	V	прош	муж		ед	изъяв				сов			нп										
огонек	огонек	S		муж	вин	ед							неод											
щелкнуть	щелкнул	V	прош	муж		ед	изъяв				сов			пе										
выстрел	выстрел	S		муж	вин	ед							неод											
и	и	CONJ																						
пуля	пуля	S		жен	им	ед							неод											
как	как	ADVPRO																						
будто	будто	PART																						
жаловаться	жалуясь	V	непрош				деепр				несов			нп										
на	на	PR																						
зажужжать	зажужжала	V	прош	жен		ед	изъяв				сов			нп										
высоко	высоко	ADV																						
в	в	PR																						
туман	тумане	S		муж	пр	ед							неод											
и	и	CONJ																						
вылетать	вылетела	V	прош	жен		ед	изъяв				сов			нп										
из	из	PR																						
слух	слуха	S		муж	род	ед							неод											
другой	другое	APRO		сред	вин	ед																		
ружье	ружье	S		сред	пр	ед							неод											
не	не	PART																						
выстреливать	выстрелило	V	прош	сред		ед	изъяв				сов			пе										
но	но	CONJ																						
блеснуть	блеснул	V	прош	муж		ед	изъяв				сов			нп										
огонек	огонек	S		муж	вин	ед							неод											
на	на	PR																						
полка	полке	S		жен	пр	ед							неод											
ростов	ростов	S		муж	вин	ед							неод						гео					
повертывать	повернул	V	прош	муж		ед	изъяв				сов													
лошадь	лошадь	S		жен	вин	ед							од											
и	и	CONJ																						
галоп	галопом	S		муж	твор	ед							неод											
поехать	поехал	V	прош	муж		ед	изъяв				сов			нп										
назад	назад	ADV																						
еще	еще	ADV																						
раздаваться	раздались	V	прош			мн	изъяв				сов			нп										
в	в	PR																						
разный	разных	A			пр	мн		полн																
промежуток	промежутках	S		муж	пр	мн							неод											
четыре	четыре	NUM			им																			
выстрел	выстрела	S		муж	вин	мн							неод											
и	и	CONJ																						
на	на	PR																						
разный	разные	A			вин	мн		полн					неод											
тон	тоны	S		муж	вин	мн							неод											
запевать	запели	V	прош			мн	изъяв				сов			пе										
пуля	пули	S		жен	вин	мн							неод											
в	в	PR																						
туман	тумане	S		муж	пр	ед							неод											
ростов	ростов	S		муж	вин	ед							неод						гео					
придерживать	придержал	V	прош	муж		ед	изъяв				сов			пе										
лошадь	лошадь	S		жен	вин	ед							од											
повеселеть	повеселевшую	V	прош	жен	вин	ед	прич	полн			сов	действ		нп										
так	так	ADVPRO																						
же	же	PART																						
как	как	ADVPRO																						
и	и	CONJ																						
он	он	SPRO		муж	им	ед				3-л														
от	от	PR																						
выстрел	выстрелов	S		муж	род	мн							неод											
и	и	CONJ																						
поехать	поехал	V	прош	муж		ед	изъяв				сов			нп										
шаг	шагом	S		муж	твор	ед							неод											
еще	еще	ADV																						
еще	еще	ADV																						
говорить	говорил	V	прош	муж		ед	изъяв				несов			пе										
в	в	PR																						
его	его	APRO			пр	мн																		
душа	душе	S		жен	пр	ед							неод											
веселый	веселый	A		муж	вин	ед		полн					неод											
голос	голос	S		муж	вин	ед							неод											
но	но	CONJ																						
выстрел	выстрелов	S		муж	род	мн							неод											
больше	больше	ADV																						
не	не	PART																						
быть	было	V	прош	сред		ед	изъяв				несов			нп										
только	только	PART																						
подъезжать	подъезжая	V	непрош				деепр				несов			нп										
к	к	PR																						
багратион	багратиону	S		муж	дат	ед							од				фам							
ростов	ростов	S		муж	им	ед							од				фам							
опять	опять	ADV																						
пускать	пустил	V	прош	муж		ед	изъяв				сов													
свой	свою	APRO		жен	вин	ед																		
лошадь	лошадь	S		жен	вин	ед							од											
в	в	PR																						
галоп	галоп	S		муж	вин	ед							неод											
и	и	CONJ																						
держать	держа	V	непрош				деепр				несов			пе										
рука	руку	S		жен	вин	ед							неод											
у	у	PR																						
козырек	козырька	S		муж	род	ед							неод											
подъезжать	подъехал	V	прош	муж		ед	изъяв				сов			нп										
к	к	PR																						
он	нему	SPRO		муж	дат	ед				3-л														
долгоруков	долгоруков	S		муж	им	ед							од				фам							
весь	все	APRO			им	мн																		
настаивать	настаивал	V	прош	муж		ед	изъяв				несов			нп										
на	на	PR																						
свой	своем	APRO		муж	пр	ед																		
мнение	мнении	S		сред	пр	ед							неод											
что	что	CONJ																						
француз	французы	S		муж	им	мн							од											
отступать	отступили	V	прош			мн	изъяв				сов			нп										
и	и	CONJ																						
только	только	PART																						
для	для	PR																						
то	того	SPRO		сред	род	ед							неод											
чтобы	чтобы	CONJ																						
обманывать	обмануть	V					инф				сов			пе										
мы	нас	SPRO			пр	мн				1-л														
раскладывать	разложили	V	прош			мн	изъяв				сов			пе										
огонь	огни	S		муж	вин	мн							неод											
что	что	SPRO		сред	вин	ед							неод											
же	же	PART																						
это	это	SPRO		сред	вин	ед							неод											
доказывать	доказывает	V	непрош			ед	изъяв			3-л	несов			пе										
говорить	говорил	V	прош	муж		ед	изъяв				несов			пе										
он	он	SPRO		муж	им	ед				3-л														
в	в	PR																						
тот	то	APRO		сред	вин	ед																		
время	время	S		сред	вин	ед							неод											
как	как	CONJ																						
ростов	ростов	S		муж	вин	ед							неод						гео					
подъезжать	подъехал	V	прош	муж		ед	изъяв				сов			нп										
к	к	PR																						
они	ним	SPRO			дат	мн																		
они	они	SPRO			им	мн																		
мочь	могли	V	прош			мн	изъяв				несов			нп										
отступать	отступить	V					инф				сов			нп										
и	и	CONJ																						
оставлять	оставить	V					инф				сов			пе										
пикет	пикеты	S		муж	вин	мн							неод											
видно	видно	ADV																вводн						
еще	еще	ADV																						
не	не	PART																						
все	все	SPRO			вин	мн																		
уходить	ушли	V	прош			мн	изъяв				сов			нп										
князь	князь	S		муж	им	ед							од											
сказать	сказал	V	прош	муж		ед	изъяв				сов			пе										
багратион	багратион	S		муж	им	ед							од				фам							
до	до	PR																						
завтрашний	завтрашнего	A		муж	вин	ед		полн					од											
утро	утра	S		сред	вин	мн							неод											
завтра	завтра	ADV																						
узнавать	узнаем	V				мн	пов			1-л	сов			пе										
на	на	PR																						
гора	горе	S		жен	пр	ед							неод											
пикет	пикет	S		муж	вин	ед							неод											
ваш	ваше	APRO		сред	вин	ед																		
сиятельство	сиятельство	S		сред	вин	ед							неод											
все	все	SPRO			вин	мн																		
там	там	ADVPRO																						
же	же	PART																						
где	где	ADVPRO																						
быть	был	V	прош	муж		ед	изъяв				несов			нп										
с	с	PR																						
вечер	вечера	S		муж	вин	мн							неод											
докладывать	доложил	V	прош	муж		ед	изъяв				сов			пе										
ростов	ростов	S		муж	вин	ед							неод						гео					
нагибаться	нагибаясь	V	непрош				деепр				несов			нп										
вперед	вперед	ADV																						
держать	держа	V	непрош				деепр				несов			пе										
рука	руку	S		жен	вин	ед							неод											
у	у	PR																						
козырек	козырька	S		муж	род	ед							неод											
и	и	CONJ																						
не	не	PART																						
в	в	PR																						
сила	силах	S		жен	пр	мн							неод											
удерживать	удержать	V					инф				сов			пе										
улыбка	улыбку	S		жен	вин	ед							неод											
веселие	веселья	S		сред	вин	мн							неод											
вызывать	вызванного	V	прош	муж	вин	ед	прич	полн			сов	страд	од	пе										
в	в	PR																						
он	нем	SPRO		муж	пр	ед				3-л														
его	его	APRO			пр	мн																		
поездка	поездкой	S		жен	твор	ед							неод											
и	и	CONJ																						
главное	главное	ADV																вводн						
звук	звуками	S		муж	твор	мн							неод											
пуля	пуль	S		жен	род	мн							неод											
хорошо	хорошо	ADV																вводн						
хорошо	хорошо	ADV																вводн						
сказать	сказал	V	прош	муж		ед	изъяв				сов			пе										
багратион	багратион	S		муж	им	ед							од				фам							
благодарить	благодарю	V	непрош			ед	изъяв			1-л	несов			пе										
вы	вас	SPRO			пр	мн				2-л														
господин	господин	S		муж	им	ед							од											
офицер	офицер	S		муж	им	ед							од											
ваш	ваше	APRO		сред	вин	ед																		
сиятельство	сиятельство	S		сред	вин	ед							неод											
сказать	сказал	V	прош	муж		ед	изъяв				сов			пе										
ростов	ростов	S		муж	вин	ед							неод						гео					
позволять	позвольте	V				мн	пов			2-л	сов			пе										
вы	вас	SPRO			пр	мн				2-л														
просить	просить	V					инф				несов			пе										
что	что	SPRO		сред	вин	ед							неод											
такой	такое	APRO		сред	вин	ед																		
завтра	завтра	ADV																						
эскадрон	эскадрон	S		муж	вин	ед							неод											
наш	наш	APRO		муж	вин	ед							неод											
назначать	назначен	V	прош	муж		ед	прич	кр			сов	страд		пе										
в	в	PR																						
резерв	резервы	S		муж	вин	мн							неод											
позволять	позвольте	V				мн	пов			2-л	сов			пе										
вы	вас	SPRO			пр	мн				2-л														
просить	просить	V					инф				несов			пе										
прикомандировывать	прикомандировать	V					инф				сов													
я	меня	SPRO			вин	ед				1-л														
к	к	PR																						
первый	первому	ANUM		муж	дат	ед																		
эскадрон	эскадрону	S		муж	дат	ед							неод											
как	как	ADVPRO																						
фамилия	фамилия	S		жен	им	ед							неод											
граф	граф	S		муж	им	ед							од											
ростов	ростов	S		муж	им	ед							од				фам							
а	а	CONJ																						
хорошо	хорошо	ADV																вводн						
оставаться	оставайся	V				ед	пов			2-л	несов			нп										
при	при	PR																						
я	мне	SPRO			пр	ед				1-л														
ординарец	ординарцем	S		муж	твор	ед							од											
илья	ильи	S		муж	род	ед							од		имя									
андреич	андреича	S		муж	вин	ед							од			отч						разг		
сын	сын	S		муж	им	ед							од											
сказать	сказал	V	прош	муж		ед	изъяв				сов			пе										
долгоруков	долгоруков	S		муж	им	ед							од				фам							
но	но	CONJ																						
ростов	ростов	S		муж	вин	ед							неод						гео					
не	не	PART																						
отвечать	отвечал	V	прош	муж		ед	изъяв				несов			нп										
он	ему	SPRO		муж	дат	ед				3-л														
так	так	ADVPRO																						
я	я	SPRO			им	ед				1-л														
быть	буду	V	непрош			ед	изъяв			1-л				нп										
надеяться	надеяться	V					инф				несов			нп										
ваш	ваше	APRO		сред	вин	ед																		
сиятельство	сиятельство	S		сред	вин	ед							неод											
я	я	SPRO			им	ед				1-л														
приказывать	прикажу	V	непрош			ед	изъяв			1-л	сов													
завтра	завтра	ADV																						
очень	очень	ADV																						
мочь	может	V	непрош			ед	изъяв			3-л	несов			нп										
быть	быть	V					инф				несов			нп										
посылать	пошлют	V	непрош			мн	изъяв			3-л	сов													
с	с	PR																						
приказание	приказанием	S		сред	твор	ед							неод											
к	к	PR																						
государь	государю	S		муж	дат	ед							од											
подумать	подумал	V	прош	муж		ед	изъяв				сов			нп										
он	он	SPRO		муж	им	ед				3-л														
слава	слава	S		жен	им	ед							неод											
бог	богу	S		муж	дат	ед							од											
крик	крики	S		муж	вин	мн							неод											
и	и	CONJ																						
огонь	огни	S		муж	вин	мн							неод											
в	в	PR																						
неприятельский	неприятельской	A		жен	пр	ед		полн																
армия	армии	S		жен	пр	ед							неод											
происходить	происходили	V	прош			мн	изъяв				несов			нп										
оттого	оттого	ADVPRO																						
что	что	CONJ																						
в	в	PR																						
тот	то	APRO		сред	вин	ед																		
время	время	S		сред	вин	ед							неод											
как	как	CONJ																						
по	по	PR																						
войско	войскам	S		сред	дат	мн							неод											
читать	читали	V	прош			мн	изъяв				несов			пе										
приказ	приказ	S		муж	вин	ед							неод											
наполеон	наполеона	S		муж	вин	ед							од		имя									
сам	сам	APRO		муж	вин	ед							неод											
император	император	S		муж	им	ед							од											
верхом	верхом	ADV																						
объезжать	объезжал	V	прош	муж		ед	изъяв				несов			пе										
свой	свои	APRO			им	мн																		
бивуак	бивуаки	S		муж	вин	мн							неод											
солдат	солдаты	S		муж	им	мн							од											
увидать	увидав	V	прош				деепр				сов			пе										
император	императора	S		муж	вин	ед							од											
зажигать	зажигали	V	прош			мн	изъяв				несов			пе										
пук	пуки	S		муж	вин	мн							неод											
солома	соломы	S		жен	вин	мн							неод											
и	и	CONJ																						
с	с	PR																						
крик	криками	S		муж	твор	мн							неод											
бежать	бежали	V	прош			мн	изъяв				несов			нп										
за	за	PR																						
он	ним	SPRO		муж	твор	ед				3-л														
приказ	приказ	S		муж	вин	ед							неод											
наполеон	наполеона	S		муж	вин	ед							од		имя									
быть	был	V	прош	муж		ед	изъяв				несов			нп										
следующий	следующий	A		муж	вин	ед		полн					неод											
солдат	солдаты	S		муж	им	мн							од											
русский	русская	A		жен	им	ед		полн																
армия	армия	S		жен	им	ед							неод											
выходить	выходит	V	непрош			ед	изъяв			3-л	несов			нп										
против	против	PR																						
вы	вас	SPRO			пр	мн				2-л														
чтобы	чтобы	CONJ																						
отмщать	отмстить	V					инф				сов			нп										
за	за	PR																						
австрийский	австрийскую	A		жен	вин	ед		полн																
ульмский	ульмскую	A		жен	вин	ед		полн											гео					
армия	армию	S		жен	вин	ед							неод											
это	это	PART																						
тот	те	APRO			им	мн																		
же	же	PART																						
батальон	батальоны	S		муж	вин	мн							неод											
который	которые	APRO			им	мн																		
вы	вы	SPRO			им	мн				2-л														
разбивать	разбили	V	прош			мн	изъяв				сов			пе										
при	при	PR																						
голлабрунн	голлабрунне	S		муж	пр	ед							неод											
и	и	CONJ																						
который	которые	APRO			им	мн																		
вы	вы	SPRO			им	мн				2-л														
с	с	PR																						
тот	тех	APRO			пр	мн																		
пора	пор	S		жен	род	мн							неод											
преследовать	преследовали	V	прош			мн	изъяв				несов			пе										
постоянно	постоянно	ADV																						
до	до	PR																						
этот	этого	APRO		муж	вин	ед							од											
место	места	S		сред	вин	мн							неод											
позиция	позиции	S		жен	пр	ед							неод											
который	которые	APRO			им	мн																		
мы	мы	SPRO			им	мн				1-л														
занимать	занимаем	V	непрош			мн	изъяв			1-л	несов			пе										
могущественный	могущественны	A				мн		кр																
и	и	CONJ																						
пока	пока	CONJ																						
они	они	SPRO			им	мн																		
быть	будут	V	непрош			мн	изъяв			3-л				нп										
идти	идти	V					инф				несов			нп										
чтоб	чтоб	CONJ																						
обходить	обойти	V					инф				сов			пе										
я	меня	SPRO			вин	ед				1-л														
справа	справа	ADV																						
они	они	SPRO			им	мн																		
выставлять	выставят	V	непрош			мн	изъяв			3-л	сов			пе										
я	мне	SPRO			пр	ед				1-л														
фланг	фланг	S		муж	вин	ед							неод											
солдат	солдаты	S		муж	им	мн							од											
я	я	SPRO			им	ед				1-л														
сам	сам	APRO		муж	вин	ед							неод											
быть	буду	V	непрош			ед	изъяв			1-л				нп										
руководить	руководить	V					инф				несов			нп										
ваш	вашими	APRO			твор	мн																		
батальон	батальонами	S		муж	твор	мн							неод											
я	я	SPRO			им	ед				1-л														
быть	буду	V	непрош			ед	изъяв			1-л				нп										
держаться	держаться	V					инф				несов			нп										
далеко	далеко	ADV																						
от	от	PR																						
огонь	огня	S		муж	род	ед							неод											
если	если	CONJ																						
вы	вы	SPRO			им	мн				2-л														
с	с	PR																						
ваш	вашей	APRO		жен	пр	ед																		
обычный	обычной	A		жен	пр	ед		полн																
храбрость	храбростью	S		жен	твор	ед							неод											
вносить	внесете	V	непрош			мн	изъяв			2-л	сов													
в	в	PR																						
ряд	ряды	S		муж	вин	мн							неод											
неприятельский	неприятельские	A			вин	мн		полн					неод											
беспорядок	беспорядок	S		муж	вин	ед							неод											
и	и	CONJ																						
смятение	смятение	S		сред	вин	ед							неод											
но	но	CONJ																						
если	если	CONJ																						
победа	победа	S		жен	им	ед							неод											
быть	будет	V	непрош			ед	изъяв			3-л				нп										
хоть	хоть	PART																						
один	одну	APRO		жен	вин	ед																		
минута	минуту	S		жен	вин	ед							неод											
сомнительный	сомнительна	A		жен		ед		кр																
вы	вы	SPRO			им	мн				2-л														
увидеть	увидите	V	непрош			мн	изъяв			2-л	сов			пе										
ваш	вашего	APRO		муж	вин	ед							од											
император	императора	S		муж	вин	ед							од											
подвергаться	подвергающегося	V	непрош	муж	вин	ед	прич	полн			несов	действ	од	нп										
первый	первым	ANUM			дат	мн																		
удар	ударам	S		муж	дат	мн							неод											
неприятель	неприятеля	S		муж	вин	ед							од											
потому	потому	ADVPRO																						
что	что	CONJ																						
не	не	PART																						
мочь	может	V	непрош			ед	изъяв			3-л	несов			нп										
быть	быть	V					инф				несов			нп										
колебание	колебания	S		сред	вин	мн							неод											
в	в	PR																						
победа	победе	S		жен	пр	ед							неод											
особенно	особенно	ADV																						
в	в	PR																						
тот	тот	APRO		муж	вин	ед							неод											
день	день	S		муж	вин	ед							неод											
в	в	PR																						
который	который	APRO		муж	вин	ед							неод											
идти	идет	V	непрош			ед	изъяв			3-л	несов			нп										
речь	речь	S		жен	вин	ед							неод											
о	о	PR																						
честь	чести	S		жен	пр	ед							неод											
французский	французской	A		жен	пр	ед		полн																
пехота	пехоты	S		жен	вин	мн							неод											
который	которая	APRO		жен	им	ед																		
так	так	ADVPRO																						
необходимый	необходима	A		жен		ед		кр																
для	для	PR																						
честь	чести	S		жен	пр	ед							неод											
свой	своей	APRO		жен	пр	ед																		
нация	нации	S		жен	пр	ед							неод											
под	под	PR																						
предлог	предлогом	S		муж	твор	ед							неод											
увод	увода	S		муж	род	ед							неод											
раненый	раненых	S		муж	пр	мн							од											
не	не	PART																						
расстраивать	расстраивать	V					инф				несов			пе										
ряд	ряда	S		муж	род	ед							неод											
каждый	каждый	APRO		муж	вин	ед							неод											
да	да	CONJ																						
быть	будет	V	непрош			ед	изъяв			3-л				нп										
вполне	вполне	ADV																						
проникать	проникнут	V	непрош			мн	изъяв			3-л	сов			нп										
мыслие	мыслию	S		сред	дат	ед							неод								обсц			
что	что	CONJ																						
надо	надо	ADV																						
побеждать	победить	V					инф				сов													
этот	этих	APRO			пр	мн																		
наемник	наемников	S		муж	вин	мн							од											
англия	англии	S		жен	пр	ед							неод						гео					
воодушевленный	воодушевленных	A			пр	мн		полн																
такой	такою	APRO		жен	твор	ед																		
ненависть	ненавистью	S		жен	твор	ед							неод											
против	против	PR																						
наш	нашей	APRO		жен	пр	ед																		
нация	нации	S		жен	пр	ед							неод											
этот	эта	APRO		жен	им	ед																		
победа	победа	S		жен	им	ед							неод											
оканчивать	окончит	V	непрош			ед	изъяв			3-л	сов			пе										
наш	наш	APRO		муж	вин	ед							неод											
поход	поход	S		муж	вин	ед							неод											
и	и	CONJ																						
мы	мы	SPRO			им	мн				1-л														
мочь	можем	V	непрош			мн	изъяв			1-л	несов			нп										
возвращаться	возвратиться	V					инф				сов			нп										
на	на	PR																						
зимний	зимние	A			вин	мн		полн					неод											
квартира	квартиры	S		жен	вин	мн							неод											
где	где	ADVPRO																						
заставать	застанут	V	непрош			мн	изъяв			3-л	сов			пе										
мы	нас	SPRO			пр	мн				1-л														
новый	новые	A			вин	мн		полн					неод											
французский	французские	A			вин	мн		полн					неод											
войско	войска	S		сред	вин	мн							неод											
который	которые	APRO			им	мн																		
формироваться	формируются	V	непрош			мн	изъяв			3-л	несов			нп										
во	во	PR																						
франция	франции	S		жен	пр	ед							неод						гео					
и	и	CONJ																						
тогда	тогда	ADVPRO																						
мир	мир	S		муж	вин	ед							неод											
который	который	APRO		муж	вин	ед							неод											
я	я	SPRO			им	ед				1-л														
заключать	заключу	V	непрош			ед	изъяв			1-л	сов			пе										
быть	будет	V	непрош			ед	изъяв			3-л				нп										
достойный	достоин	A		муж		ед		кр																
мой	моего	APRO		муж	вин	ед							од											
народ	народа	S		муж	род	ед							неод											
вы	вас	SPRO			пр	мн				2-л														
и	и	CONJ																						
я	меня	SPRO			вин	ед				1-л														
в	в	PR																						
пять	пять	NUM			вин																			
час	часов	S		муж	род	мн							неод											
утро	утра	S		сред	вин	мн							неод											
еще	еще	ADV																						
быть	было	V	прош	сред		ед	изъяв				несов			нп										
совсем	совсем	ADV																						
темно	темно	ADV																						
войско	войска	S		сред	вин	мн							неод											
центр	центра	S		муж	род	ед							неод											
резерв	резервов	S		муж	род	мн							неод											
и	и	CONJ																						
правый	правый	A		муж	вин	ед		полн					неод											
фланг	фланг	S		муж	вин	ед							неод											
багратион	багратиона	S		муж	вин	ед							од				фам							
стоять	стояли	V	прош			мн	изъяв				несов			нп										
еще	еще	ADV																						
неподвижно	неподвижно	ADV																						
но	но	CONJ																						
на	на	PR																						
левый	левом	A		муж	пр	ед		полн																
фланг	фланге	S		муж	пр	ед							неод											
колонна	колонны	S		жен	вин	мн							неод											
пехота	пехоты	S		жен	вин	мн							неод											
кавалерия	кавалерии	S		жен	пр	ед							неод											
и	и	CONJ																						
артиллерия	артиллерии	S		жен	пр	ед							неод											
долженствовать	долженствовавшие	V	прош		им	мн	прич	полн			несов	действ		нп										
первый	первые	ANUM			им	мн																		
спускаться	спуститься	V					инф				сов			нп										
с	с	PR																						
высота	высот	S		жен	род	мн							неод											
для	для	PR																						
то	того	SPRO		сред	род	ед							неод											
чтобы	чтобы	CONJ																						
атаковать	атаковать	V					инф				несов			пе										
французский	французский	A		муж	вин	ед		полн					неод											
правый	правый	A		муж	вин	ед		полн					неод											
фланг	фланг	S		муж	вин	ед							неод											
и	и	CONJ																						
отбрасывать	отбросить	V					инф				сов													
он	его	SPRO		муж	вин	ед				3-л														
по	по	PR																						
диспозиция	диспозиции	S		жен	пр	ед							неод											
в	в	PR																						
богемский	богемские	A			вин	мн		полн					неод											
гора	горы	S		жен	вин	мн							неод											
уже	уже	ADV																						
зашевелиться	зашевелились	V	прош			мн	изъяв				сов			нп										
и	и	CONJ																						
начинать	начали	V	прош			мн	изъяв				сов			пе										
подниматься	подниматься	V					инф				несов			нп										
с	с	PR																						
свой	своих	APRO			пр	мн																		
ночлег	ночлегов	S		муж	род	мн							неод											
дым	дым	S		муж	вин	ед							неод											
от	от	PR																						
костер	костров	S		муж	род	мн							неод											
в	в	PR																						
который	которые	APRO			им	мн																		
бросать	бросали	V	прош			мн	изъяв				несов			пе										
все	все	SPRO			вин	мн																		
лишний	лишнее	A		сред	вин	ед		полн																
есть	ел	V	прош	муж		ед	изъяв				несов			пе										
глаз	глаза	S		муж	вин	мн							неод											
быть	было	V	прош	сред		ед	изъяв				несов			нп										
холодно	холодно	ADV																						
и	и	CONJ																						
темно	темно	ADV																						
офицер	офицеры	S		муж	им	мн							од											
торопливо	торопливо	ADV																						
пить	пили	V	прош			мн	изъяв				несов			пе										
чай	чай	S		муж	вин	ед							неод											
и	и	CONJ																						
завтракать	завтракали	V	прош			мн	изъяв				несов			нп										
солдат	солдаты	S		муж	им	мн							од											
пережевывать	пережевывали	V	прош			мн	изъяв				несов			пе										
сухарь	сухари	S		муж	вин	мн							неод											
отбивать	отбивали	V	прош			мн	изъяв				несов			пе										
нога	ногами	S		жен	твор	мн							неод											
дробь	дробь	S		жен	вин	ед							неод											
согреваться	согреваясь	V	непрош				деепр				несов			нп										
и	и	CONJ																						
стекаться	стекались	V	прош			мн	изъяв				несов			нп										
против	против	PR																						
огонь	огней	S		муж	род	мн							неод											
бросать	бросая	V	непрош				деепр				несов			пе										
в	в	PR																						
дрова	дрова	S			вин	мн							неод											
остаток	остатки	S		муж	вин	мн							неод											
балаган	балаганов	S		муж	род	мн							неод											
стул	стулья	S		муж	вин	мн							неод											
стол	столы	S		муж	вин	мн							неод											
колесо	колеса	S		сред	вин	мн							неод											
кадушка	кадушки	S		жен	вин	мн							неод											
все	все	SPRO			вин	мн																		
лишний	лишнее	A		сред	вин	ед		полн																
что	что	CONJ																						
нельзя	нельзя	ADV																						
быть	было	V	прош	сред		ед	изъяв				несов			нп										
увезти	увезти	V					инф				сов													
с	с	PR																						
себя	собою	SPRO			твор																			
австрийский	австрийские	A			вин	мн		полн					неод											
колонновожатый	колонновожатые	S		муж	им	мн							од											
сновать	сновали	V	прош			мн	изъяв				несов			нп										
между	между	PR																						
русский	русскими	A			твор	мн		полн																
войско	войсками	S		сред	твор	мн							неод											
и	и	CONJ																						
служить	служили	V	прош			мн	изъяв				несов			пе										
предвестник	предвестниками	S		муж	твор	мн							од											
выступление	выступления	S		сред	вин	мн							неод											
как	как	CONJ																						
только	только	PART																						
показываться	показывался	V	прош	муж		ед	изъяв				несов			нп										
